,\12_Candidate variants\03 Interpretation\
0,0
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,1
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,1
171,0
172,1
173,0
174,0
175,0
176,1
177,1
178,0
179,1
180,0
181,1
182,0
183,1
184,1
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,0
245,1
246,0
247,1
248,1
249,0
250,1
251,0
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,0
260,1
261,1
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,0
292,1
293,0
294,0
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,1
308,1
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,1
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,1
393,1
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,1
402,0
403,0
404,0
405,0
406,1
407,0
408,1
409,1
410,0
411,1
412,1
413,0
414,0
415,0
416,1
417,1
418,1
419,1
420,0
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,1
436,0
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,0
455,0
456,1
457,0
458,1
459,1
460,0
461,0
462,0
463,1
464,0
465,0
466,1
467,0
468,1
469,0
470,1
471,0
472,0
473,0
